BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADD7475,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes minimus
BOLD:ADD7923,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera defecta
BOLD:ADD8047,Arthropoda,Insecta,Lepidoptera,Saturniidae,Attacus,Attacus atlas
BOLD:ADD8048,Arthropoda,Insecta,Lepidoptera,Saturniidae,Attacus,Attacus atlas
BOLD:ADD8050,Arthropoda,Insecta,Lepidoptera,Saturniidae,Attacus,Attacus atlas
BOLD:ADD8081,Arthropoda,Insecta,Hymenoptera,Eulophidae,Baryscapus,Baryscapus pallidae
BOLD:ADD8515,Arthropoda,Insecta,Lepidoptera,Psychidae,Dahlica,Dahlica sp. nov.
BOLD:ADD9268,Arthropoda,Insecta,Lepidoptera,Psychidae,Dahlica,Dahlica sp. nov.
BOLD:ADD9269,Arthropoda,Insecta,Lepidoptera,Psychidae,Dahlica,Dahlica sp. nov.
BOLD:ADD9271,Arthropoda,Insecta,Lepidoptera,Psychidae,Dahlica,Dahlica sp. nov.
BOLD:ADE0161,Arthropoda,Insecta,Blattodea,Termitidae,Hypotermes,Hypotermes makhamensis
BOLD:ADE0333,Arthropoda,Insecta,Lepidoptera,Erebidae,Setina,Setina irrorella
BOLD:ADE0607,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,Corticarina minuta
BOLD:ADE0853,Arthropoda,Insecta,Lepidoptera,Saturniidae,Hylesia,Hylesia continua
BOLD:ADE1458,Arthropoda,Insecta,Lepidoptera,Saturniidae,Paradirphia,Paradirphia semirosea
BOLD:ADE1458,Arthropoda,Insecta,Lepidoptera,Saturniidae,Paradirphia,Paradirphia winifredae
BOLD:ADE1585,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Exochus,Exochus tibialis
BOLD:ADE1903,Arthropoda,Insecta,Psocodea,Epipsocidae,Bertkauia,Bertkauia crosbyana
